datetime,open,high,low,close,volume,open_interest,total_turnover
2010-01-04 09:05:00,21405.0,21490.0,21335.0,21350.0,18946.0,152082.0,
2010-01-04 09:10:00,21355.0,21355.0,21255.0,21280.0,13082.0,153062.0,
2010-01-04 09:15:00,21280.0,21320.0,21270.0,21275.0,9082.0,153276.0,
2010-01-04 09:20:00,21270.0,21325.0,21250.0,21320.0,7022.0,153956.0,
2010-01-04 09:25:00,21315.0,21395.0,21305.0,21390.0,15448.0,155620.0,
2010-01-04 09:30:00,21380.0,21470.0,21380.0,21460.0,15234.0,159024.0,
2010-01-04 09:35:00,21465.0,21475.0,21420.0,21435.0,12442.0,159918.0,
2010-01-04 09:40:00,21430.0,21435.0,21375.0,21400.0,10096.0,157550.0,
2010-01-04 09:45:00,21395.0,21445.0,21395.0,21430.0,4796.0,158476.0,
2010-01-04 09:50:00,21430.0,21435.0,21375.0,21390.0,6808.0,159352.0,
2010-01-04 09:55:00,21395.0,21420.0,21375.0,21405.0,7708.0,160230.0,
2010-01-04 10:00:00,21405.0,21420.0,21390.0,21395.0,4388.0,159750.0,
2010-01-04 10:05:00,21395.0,21430.0,21385.0,21425.0,4612.0,159772.0,
2010-01-04 10:10:00,21425.0,21590.0,21420.0,21550.0,25402.0,161722.0,
2010-01-04 10:15:00,21550.0,21560.0,21520.0,21530.0,8642.0,161048.0,
2010-01-04 10:35:00,21520.0,21545.0,21500.0,21525.0,6512.0,160626.0,
2010-01-04 10:40:00,21520.0,21570.0,21510.0,21555.0,6340.0,160522.0,
2010-01-04 10:45:00,21555.0,21555.0,21510.0,21520.0,4618.0,161286.0,
2010-01-04 10:50:00,21525.0,21550.0,21515.0,21520.0,6048.0,161882.0,
2010-01-04 10:55:00,21515.0,21570.0,21515.0,21560.0,7586.0,162182.0,
2010-01-04 11:00:00,21560.0,21565.0,21520.0,21530.0,4968.0,161894.0,
2010-01-04 11:05:00,21525.0,21535.0,21480.0,21495.0,7356.0,161348.0,
2010-01-04 11:10:00,21495.0,21515.0,21455.0,21500.0,5476.0,161064.0,
2010-01-04 11:15:00,21505.0,21520.0,21480.0,21485.0,4812.0,161804.0,
